Harbour function list sorted by lib and name
from:
http://www.elektrosoft.it/tutorials/Harbour-Reference-Guide/harbour-complete-functions-list.htm


lista de todas las funciones de harbour ordenadas por lib y nombre
obtenidas desde:
http://www.elektrosoft.it/tutorials/Harbour-Reference-Guide/harbour-complete-functions-list.htm


Contrib     Description
Wvg_SetWndProc                                    gtwvg
Wvg_ShadedRect                                    gtwvg
Wvg_ShowWindow                                    gtwvg
Wvg_Sleep                                         gtwvg
Wvg_StatusBarCreatePanel                          gtwvg
Wvg_StatusBarRefresh                              gtwvg
Wvg_StatusBarSetText                              gtwvg
Wvg_TVIs_Expanded                                 gtwvg
Wvg_TextBox                                       gtwvg
Wvg_TrackPopupMenu                                gtwvg
Wvg_TreeView_AddItem                              gtwvg
Wvg_TreeView_Expand                               gtwvg
Wvg_TreeView_GetSelectionInfo                     gtwvg
Wvg_TreeView_SelectItem                           gtwvg
Wvg_TreeView_SetBkColor                           gtwvg
Wvg_TreeView_SetLineColor                         gtwvg
Wvg_TreeView_SetTextColor                         gtwvg
Wvg_TreeView_ShowExpanded                         gtwvg
Wvg_UpdateWindow                                  gtwvg
Wvg_gtInfoEx                                      gtwvg
Wvg_hInstance                                     gtwvg
WvtBanner                                         gtwvg
WvtBrowse                                         gtwvg
WvtConsole                                        gtwvg
WvtDialog                                         gtwvg
WvtGets                                           gtwvg
WvtImage                                          gtwvg
WvtLabel                                          gtwvg
WvtMenu                                           gtwvg
WvtObject                                         gtwvg
WvtPaintObjects                                   gtwvg
WvtPanel                                          gtwvg
WvtProgressBar                                    gtwvg
WvtPushButton                                     gtwvg
WvtScrollBar                                      gtwvg
WvtSetPaint                                       gtwvg
WvtStatic                                         gtwvg
WvtStatusBar                                      gtwvg
WvtTextBox                                        gtwvg
WvtToolBar                                        gtwvg
WvtToolButton                                     gtwvg
Wvt_AddDlgItem                                    gtwvg
Wvt_AppendMenu                                    gtwvg
Wvt_CBAddString                                   gtwvg
Wvt_CBSetCurSel                                   gtwvg
Wvt_CenterWindow                                  gtwvg
Wvt_ChooseColor                                   gtwvg
Wvt_ChooseFont                                    gtwvg
Wvt_ClientToScreen                                gtwvg
Wvt_Core                                          gtwvg
Wvt_CreateDialog                                  gtwvg
Wvt_CreateDialogDynamic                           gtwvg
Wvt_CreateDialogModal                             gtwvg
Wvt_CreateFont                                    gtwvg
Wvt_CreateMenu                                    gtwvg
Wvt_CreatePopupMenu                               gtwvg
Wvt_DeleteMenu                                    gtwvg
Wvt_DestroyMenu                                   gtwvg
Wvt_DialogBox                                     gtwvg
Wvt_DlgSetIcon                                    gtwvg
Wvt_DrawBoxGet                                    gtwvg
Wvt_DrawBoxGroup                                  gtwvg
Wvt_DrawBoxGroupRaised                            gtwvg
Wvt_DrawBoxRaised                                 gtwvg
Wvt_DrawBoxRecessed                               gtwvg
Wvt_DrawButton                                    gtwvg
Wvt_DrawColorRect                                 gtwvg
Wvt_DrawEllipse                                   gtwvg
Wvt_DrawFocusRect                                 gtwvg
Wvt_DrawGridHorz                                  gtwvg
Wvt_DrawGridVert                                  gtwvg
Wvt_DrawImage                                     gtwvg
Wvt_DrawLabel                                     gtwvg
Wvt_DrawLabelEx                                   gtwvg
Wvt_DrawLabelObj                                  gtwvg
Wvt_DrawLine                                      gtwvg
Wvt_DrawLineEx                                    gtwvg
Wvt_DrawMenuBar                                   gtwvg
Wvt_DrawOutline                                   gtwvg
Wvt_DrawOutlineEx                                 gtwvg
Wvt_DrawPicture                                   gtwvg
Wvt_DrawPictureEx                                 gtwvg
Wvt_DrawProgressBar                               gtwvg
Wvt_DrawRectangle                                 gtwvg
Wvt_DrawRoundRect                                 gtwvg
Wvt_DrawScrollButton                              gtwvg
Wvt_DrawScrollThumbHorz                           gtwvg
Wvt_DrawScrollThumbVert                           gtwvg
Wvt_DrawShadedRect                                gtwvg
Wvt_DrawStatusBar                                 gtwvg
Wvt_DrawTextBox                                   gtwvg
Wvt_DrawToolButtonState                           gtwvg
Wvt_EnableMenuItem                                gtwvg
Wvt_EnableShortcuts                               gtwvg
Wvt_GetClipboard                                  gtwvg
Wvt_GetCursorPos                                  gtwvg
Wvt_GetFontHandle                                 gtwvg
Wvt_GetFontInfo                                   gtwvg
Wvt_GetLastMenuEvent                              gtwvg
Wvt_GetMenu                                       gtwvg
Wvt_GetOpenFileName                               gtwvg
Wvt_GetPaintRect                                  gtwvg
Wvt_GetPalette                                    gtwvg
Wvt_GetRGBColor                                   gtwvg
Wvt_GetRGBColorByString                           gtwvg
Wvt_GetSaveFileName                               gtwvg
Wvt_GetScreenHeight                               gtwvg
Wvt_GetScreenWidth                                gtwvg
Wvt_GetTitle                                      gtwvg
Wvt_GetToolTipBkColor                             gtwvg
Wvt_GetToolTipTextColor                           gtwvg
Wvt_GetToolTipWidth                               gtwvg
Wvt_GetWindowHandle                               gtwvg
Wvt_GetXYFromRowCol                               gtwvg
Wvt_Hide                                          gtwvg
Wvt_InvalidateRect                                gtwvg
Wvt_IsLButtonPressed                              gtwvg
Wvt_Keyboard                                      gtwvg
Wvt_KillTimer                                     gtwvg
Wvt_LBAddString                                   gtwvg
Wvt_LBDeleteString                                gtwvg
Wvt_LBGetCount                                    gtwvg
Wvt_LBSetCurSel                                   gtwvg
Wvt_LoadFont                                      gtwvg
Wvt_LoadPen                                       gtwvg
Wvt_LoadPicture                                   gtwvg
Wvt_LoadPictureFromResource                       gtwvg
Wvt_LoadPictureFromResourceEx                     gtwvg
Wvt_MakeDlgTemplate                               gtwvg
Wvt_Maximize                                      gtwvg
Wvt_MessageBox                                    gtwvg
Wvt_Minimize                                      gtwvg
Wvt_PasteFromClipboard                            gtwvg
Wvt_ProcessMessages                               gtwvg
Wvt_ResetWindow                                   gtwvg
Wvt_RestScreen                                    gtwvg
Wvt_SaveScreen                                    gtwvg
Wvt_SetAltF4Close                                 gtwvg
Wvt_SetAsNormal                                   gtwvg
Wvt_SetBrush                                      gtwvg
Wvt_SetClipboard                                  gtwvg
Wvt_SetCodepage                                   gtwvg
Wvt_SetDlgCoMode                                  gtwvg
Wvt_SetFont                                       gtwvg
Wvt_SetGUI                                        gtwvg
Wvt_SetIcon                                       gtwvg
Wvt_SetLastMenuEvent                              gtwvg
Wvt_SetMenu                                       gtwvg
